常用语分组,常用语内容
乳胶漆项,RJ- 石膏线：石膏线是房屋装修材料，主要作为室内原始棚顶阴角装饰，吊棚造型，墙面背景等装饰用途。
乳胶漆项,RJ-石膏腻子： 采用品诺筑家专供的龙牌石膏和腻子，粉刷石膏易于成型，强度高，不易收缩；嵌缝石膏易填充，适用局部修补，表面收光；腻子粉用于基层精找平，白度高易打磨。
乳胶漆项,RJ- 乳胶漆：又称为合成树脂乳液涂料，是有机涂料的一种，是以合成树脂乳液为基料加入颜料、填料及各种助剂配制而成的一类水性涂料。依照特点及适用范围，分为内墙乳胶漆、外墙乳胶漆、防水乳胶漆等。目前我们所使用世界十大品牌之一的立邦金装五合一乳胶漆，经全新增白配方设计的一款优质室内经济型装饰涂料，具有优异的透气性，干遮盖力，干白度，附着力和防霉性等多重功效，对墙面起到保护和美化的作用，是室内装饰墙面和天花板的理想选择。
乳胶漆项,RJ-网格带，使用降能低线槽开裂风险。
乳胶漆项,RJ-线槽进行网格带处理，降低线槽开裂风险，所有线槽都已挂网。
乳胶漆项,RJ-石膏板钉眼进行防锈处理，对石膏板自攻螺丝处点补防锈漆，经检查，未存在漏点。
乳胶漆项,RJ-对阴阳角放置阴阳角线，确保阴阳角顺直。
乳胶漆项,RJ-绷带纸：降低石膏板开裂几率。
乳胶漆项,RJ-对石膏板接缝处进行防开裂处理，填补石膏粉，粘贴绷带纸，降低石膏板开裂几率。
乳胶漆项,RJ-对墙面打磨处理，砂纸目数为不低于240目，打磨完成后，项目经理进行平整度检查。
乳胶漆项,RJ-防裂神器：拐角处增加防裂神器，降低石膏板拐角开裂几率。
乳胶漆项,RJ-经检查，墙面无明显打磨痕迹。
乳胶漆项,RJ-墙漆前处理，对于墙面粉尘要清扫干净，所有需要分色面已用美纹纸进行保护，如开关底盒，门套木作等。
乳胶漆项,RJ-两遍面漆，采用晨阳水漆，已涂刷两遍，未发现透底和漏刷，流坠现象。
乳胶漆项,RJ-墙面冲筋是参考红外线水平仪找出墙面最高点，以此为基准等距在墙面冲出垂直石膏条筋，干透后批刮粉刷石膏，再用刮杆把墙面刮平。
乳胶漆项,RJ-世界十大品牌之一的上海加拿大原装进口喜加乳胶漆，产品采用ECO无味环保技术，不人为主动添加甲醛、苯、重金属、APEO等有害物质，净味。分型号不同，基本上底漆一遍，面漆一遍，完工涂刷均匀饱满、无明显色差、无刷痕。
乳胶漆项,汇报结尾→→
乳胶漆项,"品诺筑家工项目经理XX从现场为您发来的施工进度,感谢各位的配合与支持，祝生活愉快，家庭幸福！"
乳胶漆项,尊敬的业主，您好！基础装修已全部完成，下面将会进入主材安装环节，因为主材安装存在时间差，群内可能不会每天播报，当然工地有任何问题，您都可以随时和我联系。祝生活愉快，万事如意！
乳胶漆验收,汇报标题→→
乳胶漆验收,"【品诺筑家·进度播报】
尊敬的业主您好，品诺筑家项目经理XXX为您即时报道，今天实际施工项目为【乳胶漆验收】，现在向您发送今日施工情况，请您查收。"
乳胶漆验收,汇报内容→→
乳胶漆验收,YJ-顶面：目测无波浪、坑包，乳胶漆涂刷均匀无色差。
乳胶漆验收,YJ-石膏线、板线造型：板线上下口宽窄一致无弯曲，乳胶漆涂刷均匀无露底、无流坠。
乳胶漆验收,YJ-隐藏处是否有腻子挂白（衣柜背后、分水器、窗台石下方）
乳胶漆验收,YJ-墙面：踢脚线、柜子处、门套线处.做垂直处理，误差3mm之内，其他地方顺平工艺，误差5mm之内
乳胶漆验收,YJ-腻子刮白到底2cm以下
乳胶漆验收,YJ-墙面壁纸、硅藻泥打磨：大白基层不露底（目测）。
乳胶漆验收,YJ-乳胶漆：有色涂料涂刷均匀饱满、无明显色差、无刷痕。
乳胶漆验收,汇报结尾→→
乳胶漆验收,"品诺筑家工项目经理XX从现场为您发来的施工进度,感谢各位的配合与支持，祝生活愉快，家庭幸福！"
主材周期,"橱柜  日正式下单，安装周期  天左右；木门  日正式下单，安装周期  天左右；卫生间合金门  日正式下单，安装周期  天左右；厨房推拉门  日正式下单，安装周期  天左右；卫浴  日内安装，定制衣柜   日正式下单，安装周期   天左右，家具   日正式下单，送货周期    天左右。
以上是咱家主材安装的时间安排，如有特殊情况，提前给您沟通。"
橱柜安装,汇报标题→→
橱柜安装,"【品诺筑家·进度播报】
尊敬的业主您好，品诺筑家项目经理XXX为您即时报道，今天实际施工项目为【橱柜安装】，现在向您发送今日施工情况，请您查收。"
橱柜安装,"CJ-	A：安装过程验收"
橱柜安装,"	CJ-地暖分水器位置套割标准，插座底盒位置准确。"
橱柜安装,"	CJ-柜体开孔时使用开孔器，严禁随意开孔，严禁柜内空间封闭不严密。"
橱柜安装,"	CJ-石英石台面在工厂加工订制完成，现场对接的“L”型台面，台面底部已处理加固，避免接口断裂。"
橱柜安装,"	CJ-台下盆安装已在厂里直接加工固定好。"
橱柜安装,"	CJ-吊柜安装前，已准确定位，用瓷砖专用钻头打孔，用膨胀栓与螺钉紧固柜体"
橱柜安装,"	CJ-台面与挡水条用中性玻璃胶连接，挡水条与墙体使用中性玻璃胶均匀打胶连接。"
橱柜安装,"	CJ-橱柜拉手相同，无色差，高度统一一致。"
橱柜安装,"	CJ-橱柜安装完成，卫生已打扫干净整洁。"
橱柜安装,"CJ-	B：安装结束验收"
橱柜安装,"	CJ-橱柜安装外型尺寸，允许偏差3（mm）"
橱柜安装,"	CJ-橱柜安装立面垂直度，允许偏差2（mm）"
橱柜安装,"	CJ-橱柜安装台面平整度，允许偏差2（mm）"
橱柜安装,"品诺筑家工项目经理XX从现场为您发来的施工进度,感谢各位的配合与支持，祝生活愉快，家庭幸福！"
木地板验收,汇报标题→→
木地板验收,"【品诺筑家·进度播报】
尊敬的业主您好，品诺筑家项目经理XXX为您即时报道，今天实际施工项目为【木地板施工】，现在向您发送今日施工情况，请您查收。"
木地板验收,汇报内容→→
木地板验收,MJ-A：安装过程验收
木地板验收,MJ-基层地面应平整、坚实、干燥，含水率南方地区不大于%、北方地区不大于8%；严禁基层空鼓、起皮、脱落、开裂；平整度不大于2mm。
木地板验收,MJ-木地板安装前已清扫干净地面灰尘。
木地板验收,MJ-木地板基层安装完毕。
木地板验收,MJ-木地板完成面比门槛石低3-5mm。
木地板验收,MJ-木地板铺贴完成后及时使用品诺筑家专用地保进行成品保护。
木地板验收,MJ-B：安装结束验收
木地板验收,MJ-板面缝隙宽度，允许偏差0.5（mm）
木地板验收,MJ-表面平整度，允许偏差2（mm）
木地板验收,MJ-板面拼缝平直，允许偏差3（mm）
木地板验收,MJ-踢脚线与面层的接缝，允许偏差1（mm）
木地板验收,汇报结尾→→
木地板验收,品诺筑家项目经理XX从现场为您发来的施工进度，请感谢各位的配合与支持，祝生活愉快，家庭幸福！
房门安装,汇报标题→→
房门安装,"【品诺筑家·进度播报】
尊敬的业主您好，品诺筑家项目经理XXX为您即时报道，今天实际施工项目为【房门安装】，现在向您发送今日施工情况，请您查收。"
房门安装,FJ- A：安装过程验收
房门安装,FJ-户内门框安装，门框两边每隔6mm安装固定木楔，待门套位置预固定后取出。
房门安装,FJ-厨房门框安装时，门头吊轨安装吊门较重，需用膨胀螺丝固定。
房门安装,FJ-门框与墙体间缝隙使用发泡胶填充，多余的发泡胶必须在未干固前刮掉。
房门安装,FJ-依据户内门基座与门套框高度，准确切割门套线45°角，对接时应严密无缝或者拼接直角缝安装。
房门安装,FJ-门套线与墙体间隙小于5mm，套线与墙体缝隙用与门套线或墙体相近颜色的中性玻璃胶密封，打胶应均匀顺畅
房门安装,FJ-合页位置：每扇门需用3片合页，上面合页上口距门头约为240mm，中间合页下口距门头约840mm，下面合页下口距门底约为280mm。
房门安装,FJ-合页安装必须方正牢固。
房门安装,FJ-门扇安装后，卧室门距地面5-8mm，平开厨房门、卫生间门距地面-mm，其余3边与门框间距均匀且不大于4mm。
房门安装,"FJ-户内门吸统一安装在墙面上，门吸中心距门板边缘50mm,高度为所在房间地面完成面以上0mm。"
房门安装,"FJ-	B：安装结束验收"
房门安装,FJ-门槽口对角线长度差，允许偏差2（mm）
房门安装,FJ-门框的正、侧面垂直度，允许偏差2（mm）
房门安装,FJ-门扇与上框间留缝，允许偏差2（mm）
房门安装,FJ-门套线接缝高低差，允许偏差2（mm）
房门安装,品诺筑家项目经理XX从现场为您发来的施工进度，感谢各位的配合与支持，祝生活愉快，家庭幸福！
衣柜安装,汇报标题→→
衣柜安装,"【品诺筑家·进度播报】
尊敬的业主您好，品诺筑家项目经理XXX为您即时报道，今天实际施工项目为【衣柜安装】，现在向您发送今日施工情况，请您查收。"
衣柜安装,"YJ-	1、准备阶段"
衣柜安装,YJ-材料到场：板材运送到现场时一般都有纸板包装。拆开包装后验收一下各块板材和五金件。
衣柜安装,"	YJ-固定螺丝：板材上一般都按设计图在加工时预留好了钉眼，在现场的工人用专用工具把螺丝固定好。"
衣柜安装,"YJ-	2、安装阶段"
衣柜安装,"	YJ-固定框架：按照板材上的凹槽安装好衣柜的侧板和背板，调整各块板之间的位置。"
衣柜安装,"	YJ-安装顶板：现场最好准备一个攀高用的凳子，顶板要举高了放置上去的，然后固定牢固。"
衣柜安装,"	YJ-安装搁板：把搁板放置到事先敲好螺丝的地方，然后固定。注意调整搁板与背板、侧板的固定位置。"
衣柜安装,"	YJ-固定门轨：在衣柜的顶边和底边都安装好门轨，门轨选合金的材料比较好，又轻又牢固。"
衣柜安装,"	YJ-安装衣杆：在预留的位置打好固定螺丝，安装好衣杆。注意两边要平衡。"
衣柜安装,"YJ-	3、收尾阶段"
衣柜安装,"	YJ-安装门扇：两扇移门要贴和导轨的位置安装，先固定好门扇再把底边的导轨固定好，这样避免以后发生门扇脱落的现象。"
衣柜安装,"	YJ-调整改良：全部安装完之后，对衣柜做个“全面检查”，有偏差的话及时调整。"
衣柜安装,品诺筑家项目经理XX从现场为您发来的施工进度，感谢各位的配合与支持，祝生活愉快，家庭幸福！
卫浴验收,汇报标题→→
卫浴验收,"【品诺筑家·进度播报】
尊敬的业主您好，品诺筑家项目经理XXX为您即时报道，今天实际施工项目为【卫浴验收】，现在向您发送今日施工情况，请您查收。"
卫浴验收,汇报内容→→
卫浴验收,1、洗漱盆安装注意
卫浴验收,WJ-洗漱盆与排水管连接后应牢固密实，且便于拆卸，连接处不得敞口。洗漱盆与墙面接触部应用硅膏嵌缝。
卫浴验收,2、马桶的安装注意
卫浴验收,WJ-给水管安装角阀高度一般距地面至角阀中心为250mm，如安装连体坐便器应根据坐便器进水口离地高度而定，但不小于1mm，给水管角阀中心一般在污水管中心左侧0mm或根据坐便器实际尺寸定位。
卫浴验收,WJ-带水箱及连体马桶其水箱后背部离墙应不大于20mm。
卫浴验收,汇报结尾→→
卫浴验收,品诺筑家项目经理XX从现场为您发来的施工进度，感谢各位的配合与支持，祝生活愉快，家庭幸福！
到货验收,"【品诺筑家·进度播报】
尊敬的业主您好，品诺筑家项目经理XXX为您即时报道，今天实际施工项目为【到货验收】，现在向您发送今日施工情况，请您查收。"
到货验收,DJ-主材未开封，数量与合同一致。
到货验收,DJ-开封后，经一一检查，无损坏。产品型号、色彩与合同上标注一致。
到货验收,DJ-五金、压条型号，色彩与合同上标注一致。
到货验收,DJ-已经堆放到现场指定处。
到货验收,"品诺筑家工项目经理XX从现场为您发来的施工进度,感谢各位的配合与支持，祝生活愉快，家庭幸福！"
施工提示,"【水电施工安全提示】
尊敬的业主您好，目前工地正在进行水电施工，施工进行时由于电路线管接头是未完成作业状态且电芯处于暴露状态，开关插座高度大多数为MM以内，为了您的安全，在此期间工地上谢绝携带儿童参观。如需参观，请做好保护措施，杜绝安全隐患的发生。
品诺筑家项目经理XX祝您生活愉快！"""
施工提示,"【泥工施工安全提示】
尊敬的业主您好，目前工地进入泥工施工期间，现场有大量瓷片，水泥，砂子等施工需要的物料，去往工地参观时，请注意脚下安全，小心地上瓷砖切割的碎片。施工时现场切割瓷砖会产生大量的白灰，请记得带上口罩，以免灰尘吸入体内引起身体不适，谢谢您的配合。
品诺筑家项目经理XX祝您生活愉快！"""
施工提示,"【未封闭阳台安全提示】
尊敬的业主您好，由于目前阳台窗户是未封闭状态，参观工地时，为了安全起见，请不要靠窗户太近，请大家做好安全措施，谢谢大家配合。
品诺筑家项目经理XX祝您生活愉快！"""
施工提示,"【自装施工提示】
尊敬的业主您好，目前工地已进入自装阶段，工地施工时请做好成品保护，禁止吸烟，因为现场有一些易燃物品，提醒工人下班断水断电，为了以防万一，请大家多多配合，抓好工地安全，杜绝隐患。
品诺筑家项目经理XX祝您生活愉快！"""
施工提示,"【竣工提示】
尊敬的业主您好，感谢您一路来对我们工作的支持，您的支持是我们前进的动力，您的满意一直是我们努力的目标，也感谢您在百忙之中对我们工作提出的建议、批评及对我们工作的指导，有高标准的要求，我们才会快速进步，再次感谢您。根据咱们双方合同的约定，您新居装修工程已全部完工，从明天开始，我们将不再播报工地报道，服务没有终点，服务永远只有起点，随着工程的结束，即将迎来售后服务的开端，本群也会解散，同样有关人员会添加您的微信将继续为您服务，在以后的日子里，您有什么售后问题，可以直接联系我们售后，售后电话33193，我们会第一时间为您解决，感谢您一路走来的配合！ 品诺筑家全体员工祝您阖家幸福，身体健康，万事顺利！"
施工提示,"【木工施工安全提示】
尊敬的业主您好，目前工地已进入木工施工阶段，参观工地时请注意脚下安全，因为现场有一些木工作业时遗留的细小钉子，一般木工都不会乱丢乱请您放心，为了以防万一，请大家多多配合，抓好工地安全，杜绝隐患。
品诺筑家项目经理XX祝您生活愉快！"""
施工提示,"【禁止吸烟安全提示】
尊敬的业主您好，目前工地已进入基装施工阶段，参观工地时请禁止吸烟，因为现场有一些易燃物品，为了以防万一，请大家多多配合，抓好工地安全，杜绝隐患。
品诺筑家项目经理XX祝您生活愉快！"""
施工提示,"【乳胶漆施工安全提示】
尊敬的业主您好，目前施工阶段为乳胶漆涂料部分，打磨时工地会有大量白色灰尘，为了您及家人的健康，工地谢绝老人、孕妇、儿童参观，参观者请带上口罩或做好其他安全防范，以免腻子粉尘吸入体内引起身体不适，谢谢配合。
品诺筑家项目经理XX祝您生活愉快！"""
施工提示,【请假条】                                                                                                                  尊敬的业主，您好！明天我正常休假一天，工地施工情况，我已给现场师傅安排好了，公司也会有相关人员为您监督管理，请您放心，如有任何问题请直接与我电话联系。品诺筑家项目经理XX，祝您生活愉快，家庭幸福！
施工提示,【停工通知】                                                                                                            尊敬的业主，您好！由于明天工人XX有事需要请假一天，故明天工地停工一天，还请您批准为谢，停工期间我们将不再进行工地进度播报与每日点到，请您谅解，品诺筑家项目经理XX祝您生活愉快，家庭幸福！"
施工提示,【停工通知】尊敬的业主，您好！由于您选的材料未能及时到位，工地无法施工，故明天工地停工1-3天，停工期间我们将不再进行工地进度播报与每日点到，请您谅解，材料到达现场后将在此做提示说明或电话沟通，品诺筑家项目经理XX祝您生活愉快，家庭幸福！"
施工提示,【复工通知】                                                                                                            尊敬的业主，您好！有关设计修改事宜已与您确定，明天开始复工，复工后工地将恢复正常，品诺筑家项目经理XX祝您生活愉快，家庭幸福！"
施工提示,【复工通知】                                                                                                               尊敬的业主，您好！您选的主材已经送达现场，明天开始复工，复工后工地将恢复正常，品诺筑家项目经理XX祝您生活愉快，家庭幸福！"
施工提示,汇报标题→→
施工提示,【品诺筑家·春节停工四关工作】
施工提示,尊敬的业主您好，感谢您们选择品诺筑家为您们服务！按照29年品诺筑家春节停工要求，为了在春节期间新房的安全，我们必须做好关水、关电、关窗、关门四关工作，您们的新房装修因为春节暂时告一段落，期待来年继续全心全意为您们新家服务。下面是停工前进行的四关工作照片，请您们查收！"
施工提示,汇报内容→→
施工提示,1.水源总阀已经关闭，水龙头打开已经完全断水。
施工提示,2.电源总闸已经关闭，开关测试已经完全断电。
施工提示,3.检查所有铝合金窗户已经关闭，避免下雨时候浸水。
施工提示,4.入户门已经关闭，确认锁好，门锁一边已贴封条（或者福字）。
施工提示,汇报结尾→→
施工提示,品诺筑家项目经理XX从现场为您发来的春节安全防护措施，请您们查收！品诺筑家提前祝您们春节愉快，万事如意！
施工提示,【收款通知】                                                                                                            尊敬的业主，下午好！首先感谢您选择品诺筑家公司为您服务，对我公司的信任和支持，目前您新家施工进度已过半，工程验收均无质量问题，根据合同条约，木工材料进场，需支付工程第二期款，麻烦您抽空转下账或来我公司刷卡支付工程款，以免影响工期，谢谢您的配合。品诺筑家项目经理XX祝您生活愉快，家庭幸福！
主材报单,"项目：木工料下单
工程地址：
密码：
项目经理：
联系电话：
是否缴齐中期：剩余多少钱（）"
主材报单,"项目：地暖通知安装
工地地址：
密码：
项目经理：
联系电话：
面积：
系列：
分水器：
过滤器阀门：
背篓：
地暖主管：
特殊备注：是否是双系统"
主材报单,"项目：定制衣柜通知测量
工地地址：
密码：
厂家：品诺筑家/简一
项目经理：
联系电话：
平方：
特殊备注："
主材报单,"项目：定制衣柜通知复尺
工地地址：
密码：
厂家：品诺筑家/简一
项目经理：
联系电话：
特殊备注："
主材报单,"项目：定制衣柜通知安装
工地地址：
密码：
厂家：品诺筑家/简一
项目经理：
联系电话：
特殊备注："
主材报单,"项目：瓷砖通知送砖
工地地址：
密码：
厂家：
项目经理：
联系电话：
特殊备注："
主材报单,"项目：瓷砖通知退/补砖
工地地址：
密码：
厂家：
数量：
项目经理：
联系电话："
主材报单,"项目：木门通知测量
工地地址：
密码：
项目经理：
联系电话：
特殊备注："
主材报单,"项目：木门通知安装
工地地址：
密码：
项目经理：
联系电话："
主材报单,"项目：合金门通知测量
工地地址：
密码：
项目经理：
联系电话：
平方：
特殊备注："
主材报单,"项目：合金门通知安装
工地地址：
密码：
项目经理：
联系电话：
特殊备注："
主材报单,"项目：吊顶通知安装
工地地址：
密码：
项目经理：
联系电话：
特殊备注：（灯具和浴霸不要了就说无浴霸灯具）"
主材报单,"项目：橱柜通知测量
工地地址：
密码：
项目经理：
联系电话：
米数：
特殊备注："
主材报单,"项目：橱柜图纸确定,下单
工地地址：
密码：
项目经理：
联系电话：
特殊备注："
主材报单,"项目：橱柜通知安装
工地地址：
密码：
项目经理：
联系电话：
特殊备注："
主材报单,"项目：木地板通知安装
工地地址：
密码：
厂家：
项目经理：
联系电话：
木地板平方：
踢脚线米数：
特殊备注："
主材报单,"项目：卫浴通知安装
工地地址：
密码：
项目经理：
联系电话：
马桶孔距：主（  ）客（  ）
特殊备注："
主材报单,"项目：石材通知安装
工地地址：
密码：
石材尺寸:
项目经理：
联系电话：
特殊备注："
主材报单,"项目：窗帘通知测量
工地地址：
密码：
项目经理：
联系电话：
特殊备注："
主材报单,"项目：窗帘通知安装
工地地址：
密码：
项目经理：
联系电话：
特殊备注："
主材报单,"项目：壁纸壁画提货
工地地址：
密码：
项目经理：
联系电话：
数量：
特殊备注："
主材报单,"项目：灯具通知安装
工地地址：
密码：
项目经理：
联系电话：
特殊备注："
主材报单,"项目：开关插座报单
工地地址：
密码：
项目经理：
联系电话：
特殊备注："
主材报单,"项目：家具下单
工地地址：
密码：
项目经理：
联系电话：
特殊备注：尺寸是否核实过"
主材报单,"项目：家具送货
工地地址：
密码：
项目经理：
联系电话：
特殊备注："
